描述,价格,房源类型,出租类型,可住人数,面积,省份,城区,房源评论数,房客评价,房源综合得分,房主好评率,房主回复率,房主接单率,其他房源数,其他房源平均分,房源好评率,近期预定量
"
                家人不在附近居住，房屋一直闲置，今年决定装修完尝试着做民宿。小区是山海关区亚龙湾小区， 房屋面积90平米，2室2厅1厨1卫，设施齐全。 卧室和客厅均有空调。客厅有沙发，WIFI。两个卧室，主卧是1.8*2m的床，次卧是两张1.2*2m的床，阳台有升降晾衣架。卫生间24小时太阳能热水器，有洗衣机可洗衣服，有洗浴拖鞋和一次性洗漱用品，出于卫生考虑，建议您自备牙具和毛巾。厨房备有简单的厨具，可以简单做一下菜，简单蒸煮海鲜。
            ",598,小区住宅,整租,4人,90平米,秦皇岛,山海关区,0,,,100.00%,100.00%,100.00%,2,0,100%,24 晚
"
                本公寓地处美丽的海滨城市北戴河，公寓地理位置好交通便利，小区门口设有601---37---路等公交车可以到达每个景点。步行10分钟就可以到达奥运公园-鸽子窝公园，是您饭后散步的选择。楼下免费停车为您免去了找车位的烦恼。公寓的下面新建了菜市场海鲜市场饭店超市旅游用品一条街。再说说咱们住的公寓，南北通透房间装修和布置大方得体简单的线条呈现房屋的时尚，安静的卧室就如同一幅精致了画流露出一种浪漫唯美的气质。全部名牌家电，厨房用品一应俱全，买回来的海鲜可以自己做着吃，睡在五星级的床品上又是一种享受，双卫生间给您提供了足够的私人空间，还为您准备了电吹风沐浴液洗发液，房东姐姐还可以给您提供优惠的景点门票，房东姐姐以优质的服务等着您的到来。
            ",388,普通公寓,整租,5人,95平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,100.00%,3,3.333,100%,22 晚
"
                本公寓地处美丽的海滨城市北戴河，公寓地理位置好交通便利，小区门口设有601---37---路等公交车可以到达每个景点。步行10分钟就可以到达奥运公园-鸽子窝公园，是您饭后散步的选择。楼下免费停车为您免去了找车位的烦恼。公寓的下面新建了菜市场海鲜市场饭店超市旅游用品一条街。再说说咱们住的公寓，南北通透房间装修和布置大方得体简单的线条呈现房屋的时尚，安静的卧室就如同一幅精致了画流露出一种浪漫唯美的气质。全部名牌家电，厨房用品一应俱全，买回来的海鲜可以自己做着吃，睡在五星级的床品上又是一种享受，双卫生间给您提供了足够的私人空间，还为您准备了电吹风沐浴液洗发液，房东姐姐还可以给您提供优惠的景点门票，房东姐姐以优质的服务等着您的到来。
            ",188,普通公寓,整租,3人,40平米,秦皇岛,北戴河区,1," 本次住宿满足我的期待????
房东姐姐一直主动给我打电话联系，问我出发了没，什么时候到，最后下车接的我们，尽管下车地方离住处一点也不远。在赤土山新村一进村子的地方，很方便，旁边出门就是早市，吃早点很便宜，还有新鲜的海鲜卖，可以自己加工，美极了～
一次很好的旅游体验，下次来还来姐姐家住????",5,100.00%,100.00%,100.00%,3,3.333,100%,22 晚
"
                本公寓地处美丽的海滨城市北戴河，公寓地理位置好交通便利，小区门口设有601---37---路等公交车可以到达每个景点。步行10分钟就可以到达奥运公园-鸽子窝公园，是您饭后散步的选择。楼下免费停车为您免去了找车位的烦恼。公寓的下面新建了菜市场海鲜市场饭店超市旅游用品一条街。再说说咱们住的公寓，南北通透房间装修和布置大方得体简单的线条呈现房屋的时尚，安静的卧室就如同一幅精致了画流露出一种浪漫唯美的气质。全部名牌家电，厨房用品一应俱全，买回来的海鲜可以自己做着吃，睡在五星级的床品上又是一种享受，双卫生间给您提供了足够的私人空间，还为您准备了电吹风沐浴液洗发液，房东姐姐还可以给您提供优惠的景点门票，房东姐姐以优质的服务等着您的到来。
            ",688,普通公寓,整租,7人,137平米,秦皇岛,北戴河区,1, 提前预定的，价位很便宜。距离海边也不远，可以做饭，楼下还有市场。房东很好，房子和照片一致。第一次在这个app预定，真的很惊喜。度过了愉快的两天，下次再来一定还住这里。,5,100.00%,100.00%,100.00%,3,3.333,100%,22 晚
"
                精装修一楼干净整洁的家庭公寓，老年人和儿童上下楼出行方便！一客一换洗消毒！周边配套齐全！去往鸽子窝公园、奥林匹克公园、碧螺塔酒吧公园、石塘路步行街、北戴河野生动物园开车只需7、8分钟！
            ",118,小区住宅,整租,6人,90平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,100.00%,3,3.333,100%,30 晚
"
                此套公寓位于市中心繁华地段，周边有银行，商场，吃，住，行都很方便，紧邻汤河公园
            ",138,普通公寓,整租,2人,38平米,秦皇岛,海港区,0,,,100.00%,100.00%,100.00%,1,0,100%,32 晚
"
                房间以地中海风格作为主调，装修大气得体，干净卫生、居室采光很好，东临亚洲湿地及中国十大观鸟日出圣地，鸽子窝公园、潮人距离碧螺塔酒吧公园和奥林匹克公园、西临石塘路步行街、联峰山等知名景区早观日出、午享、阳光、沙滩、海浪、晚赏音乐喷泉，远离都市喧嚣，身心都很放松，房间宽敞明亮，装修格调高雅清新，整个居室空间布置的非常温馨就像住在家里一样。卧室有宽大舒适的双人床，床品全部是纯棉质品，一客一换，让您安心享受舒适好睡眠，房间内有电视、空调、冰箱、沙发、餐桌、点热水壶、热水器、24小时淋雨等设施齐全，并配有厨房及独立卫生间。厨房用具一应俱全，可以在附近的石塘路海鲜市场或小区门口的早市一番后回来烹制海鲜大餐。公寓临近老虎石公园、鸽子窝公园、奥林匹克公园、碧螺塔公园、怪楼奇缘、秦皇岛野生动物园等热门景点，，到北戴河海滨位置的海水浴场只需10分钟车程。在小区门口乘坐601路公交车，去哪里都很方便，如果没有交通方便免费接你到公寓。
            ",320,普通公寓,整租,7人,110平米,秦皇岛,北戴河区,3," 挺好的，家的感觉+ 入住过程有个小插曲，但总体比较满意+ 房子与图片完全吻合 干净舒适 时间太赶了,下次争取待长一点时间 秦皇岛真的很美",5,100.00%,100.00%,96.10%,4,5,100%,22 晚
"
                华贸蔚蓝海岸海景公寓为标准的酒店式公寓，公寓均为高层海景房，距海边五六百米，步行两分钟就到蔚蓝海岸浴场，躺在床上可观海上日出，西山日落。公寓内冰箱洗衣机，等配套设施齐全。公寓楼下有超市，银行，药店，还有业主食堂，饭菜可口，价格实惠。还有猫的天空之城海景书店，儿童游乐场，小小牧场，帆船俱乐部，环境优美，充满了乐趣。公寓交通便利，距北戴河火车站10分钟车程。公寓楼下有大型免费停车场，停车方便。华贸蔚蓝海岸浴场沙软潮平，**旺季也不会太多人，海水清澈。总之是您逃离城市喧哗，享受宁静浪漫夏天的度假圣地。
            ",180,普通公寓,整租,3人,53平米,秦皇岛,抚宁区,1, 很不错，环境好，离海边也很近,5,100.00%,100.00%,100.00%,1,5,100%,40 晚
"
                个人房源两室一厅一楼，小区距海边步行三十分钟，可游泳看海上日出，小区门口有公交站出租车有医院银行超市菜市场，夜晚广场能跳舞有美食街欢迎您来游玩。室内备有电视冰箱空调无线网络，能做饭全天热水备有三张双人床是您全家游玩方便去处。
            ",300,小区住宅,整租,6人,78平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,100.00%,1,0,100%,28 晚
"
                hi我是阿瑜，80后的年轻人,一个爱吃、爱玩儿，爱旅行的秦皇岛女孩，喜欢读书,音乐,咖啡和美食，平时的工作是室内装修和软装设计，开始做民宿，是因为我很喜欢旅游，希望把我设计的房间能让来自异乡的朋友在小岛体验到家的温暖，城市的温度。在这里，您可以家庭出游，朋友结伴，自己烹饪海鲜大餐，品尝美酒美食的同时会收获更多的友情，亲情或是爱情。欢迎各地的朋友来我家住，期待来自各地的你和我分享你们的旅行故事和欢乐时光。。若这间房间在您的行程时间已经满房，点我头像可以查看更多的房源哦。
            ",680,普通公寓,整租,2人,58平米,秦皇岛,海港区,0,,,100.00%,95.00%,100.00%,6,4.167,100%,34 晚
"
                公寓多套房源不同小区三室两厅两卫、三室两厅一卫、两室两厅一卫自助家庭公寓位于碧螺塔酒吧公园鸽子窝公园奥运公园附近！顾客朋友可以在预定前先咨询哦！室内设备齐全！液晶电视、无线网、空调、洗衣机、太阳能、电热水器、24小时热水！厨房锅碗瓢盆、微波炉、天然气！自己可以做饭和加工各种海鲜！既经济又实惠！是很不错的选择！附近有饭店、海鲜排档、超市、菜市场很方便！交通便利！小区附近有15路公交车、37路公交车直达北戴河火车站！楼下免费停车！
            ",228,普通公寓,整租,6人,110平米,秦皇岛,北戴河区,1, 好评！房东很热情，房间收拾得干干净净，小朋友们一到家就脱鞋开始玩耍。六大三小入住不显得挤，很舒适。小区也很安静，很合大家的心意！谢谢房东！,5,100.00%,100.00%,80.00%,3,3.333,100%,20 晚
"
                建于二十世纪初欧式建筑风格，建筑面积374.3平立米，此别墅为北戴河仅存的百年重点文物老别墅之一，甘德夫人是美国驻华公使甘德先生的夫人，始建于1900年北戴河别墅的历史始于北戴河开发之初，2018年室内进行装修，壁纸换成了环保硅藻泥，全美式实木家具搭配名牌家电给客人以高端大气的豪华体验，别墅离海边步行5分钟路程，坐落在北戴河主干道怪楼斜对面，室内全欧式实木家具五室一厅三卫一厨两层露台，24小时热水中央空调，每个房间独立索尼电视，免费wifi,有线电视，自动麻将机，冰箱洗衣机烟机灶貝，一次性牙刷，梳子，卫生纸，毛巾，沐浴露洗发水全新厨房的可入住10～12人，别墅处在国家大型疗养费内有台球室乒乓球室，歌舞厅，餐厅，各种疗养设备可以共享，附近距离怪楼公园，老虎石公园，奥林匹克大道公园，碧螺塔酒吧公园，鸽子窝公园，墅生动物园都很近，既可以了解北戴河的历史，居住体验不同凡响。
            ",2000,独栋别墅,整租,12人,374平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,100.00%,3,3.333,100%,24 晚
"
                公寓地处美丽宁静的滨海之城北戴河,东临中国十大观鸟观日出圣地--鸽子窝公园、潮人聚集地碧螺塔酒吧公园和奥林匹克公园，西临石塘路步行街、联峰山公园等知名景区。小区周边还有超市、海鲜市场、大排档、早市，生活非常便利。 房屋以简约风格为主调，浅色调让这个私密空间显得格外清新夺目，同时也弥散出丝丝宁谧的气息。舒适的卧床让您久经尘世的疲惫身心在这里得到抚慰与陶冶，或许这种美妙的意境也会由此渗透到梦中。房间内有电视、沙发、餐桌、电热水壶、电热水器、24小时淋浴等，并配有厨房及独立卫生间。厨房里用具一应俱全，可以在附近的石塘路海鲜市场或小区门口的早市采购一番后回来自己烹制美味海鲜大餐。公寓带免费车位，公寓还提供各个景点折扣门票、山海关及南戴河一日游包车、自驾游包车等各项优惠活动让您尽享海滨之乐。 公寓临近老虎石公园、鸽子窝公园、奥林匹克公园、碧螺塔公园、怪楼奇园、秦皇岛野生动物园等热门景点，到北戴河海滨位置的海水浴场只需5分钟车程。在小区门口乘坐601等多路公交，去哪里都很方便；公寓距离京哈高速不足3公里，小区门口公路可直通南戴河黄金海岸、秦皇岛、山海关。 北戴河舒馨公寓是您来北戴河休闲度假的场所，请您放心前来与预定！

            ",166,普通公寓,整租,4人,96平米,秦皇岛,北戴河区,1, 非常不错！小区周边很方便！有饭店 超市 夜市！交通方便！屋里有酒精消毒味道！很放心！值得推荐！,5,100.00%,100.00%,80.00%,4,2.5,100%,28 晚
"
                公寓地理位置得天独厚,布局合理，50L大容量电热水器和太阳能，给您和家人提供全天热水，卧室全部配备空调，客厅液晶电视，配备WiFi无线上网。厨房设施配备齐全，可以自己烹饪海鲜。怪楼奇园,奥林匹克大道公园,鸽子窝公园,碧螺塔公园环绕其间。楼下即可免费停车。
            ",218,小区住宅,整租,6人,128平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,80.00%,4,2.5,100%,28 晚
"
                公寓坐落在美丽的海滨小镇原住民居住区,房屋内精装修家电齐全(冰箱,液晶电视,洗衣机,空调等生活电器)更设有厨房供您给家人和朋友烹饪拿手美食。
★在小区设有早市，游客可以自己挑选购买海鲜后直接在厨房烹饪让您吃的放心买的实惠。 
★公寓与海科学的距离使夏季屋内不潮湿,步行几十分钟就可感受海风、沙滩、海鸥体验大海边的生活。
★附近育花路旅游市场活蹦乱跳的螃蟹、皮皮虾、大海鱼等你把鲜带回家。周边还配有社区卫生服务站，超市，公交线路，共享单车，外卖，滴滴打车等设施服务。
★紧邻北戴河景区鸽子窝公园360的日出美景尽收眼底。奥林匹克大道公园是您饭后散步的好去处。野生动物园，老虎石，南戴河有南娱，沙雕大等旅游景区。
★两室两厅一厨一卫,可容纳4-5人,室内干净整洁,室外小区环境优雅。提供无线上网,冰箱,洗衣机,空调,数字电视,天然气,厨具,24小时热水,拎包即住。
★因公寓有老人和小朋友的入住，所以禁止游客携带宠物，请见谅！
★公寓应公安部要求不接待新疆游客和外宾，请见谅！
由于房主房源较多有时会临时调换房源，但位置不变，有特殊要求的房客可以及时联系房主。欢迎下榻,更有打折景点门票可以提供代买。
            ",138,普通公寓,整租,5人,90平米,秦皇岛,北戴河区,1, 房子非常满意，新，爸妈非常满意，房东周到准备了新的电饭煲，而且每张床都有隔尿垫，非常干净，个家里感觉一样，下楼就是早市，非常便利，每天买完菜，再出去逛逛回来做饭午睡，很休闲。离景点打车都不远，下次去北戴河再去你家，这次真是个愉快的旅程。,5,100.00%,100.00%,80.00%,2,2.5,100%,22 晚
"
                公寓坐落在美丽的海滨小镇原住民居住区,房屋内精装修家电齐全(冰箱,液晶电视,洗衣机,空调等生活电器)更设有厨房供您给家人和朋友烹饪拿手美食。
★在小区设有早市，游客可以自己挑选购买海鲜后直接在厨房烹饪让您吃的放心买的实惠。 
★公寓与海科学的距离使夏季屋内不潮湿,步行几十分钟就可感受海风、沙滩、海鸥体验大海边的生活。
★附近育花路旅游市场活蹦乱跳的螃蟹、皮皮虾、大海鱼等你把鲜带回家。周边还配有社区卫生服务站，超市，公交线路，共享单车，外卖，滴滴打车等设施服务。
★紧邻北戴河景区鸽子窝公园360的日出美景尽收眼底。奥林匹克大道公园是您饭后散步的好去处。野生动物园，老虎石，南戴河有南娱，沙雕大等旅游景区。
★两室两厅一厨一卫,可容纳4-5人,室内干净整洁,室外小区环境优雅。提供无线上网,冰箱,洗衣机,空调,数字电视,天然气,厨具,24小时热水,拎包即住。
★因公寓有老人和小朋友的入住，所以禁止游客携带宠物，请见谅！
★公寓应公安部要求不接待新疆游客和外宾，请见谅！
由于房主房源较多有时会临时调换房源，但位置不变，有特殊要求的房客可以及时联系房主。欢迎下榻,更有打折景点门票可以提供代买。
            ",138,普通公寓,整租,5人,94平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,80.00%,2,2.5,100%,22 晚
"
                【房源介绍】-宽敞明亮的房间与完善的厨房设施方便您自己加工海鲜，人住这里，远离城市的喧闹，您会有到家的感觉，体验丰富的渔民生活，使您的假期生活更加丰富精彩。

【装修多元】-公寓有多套各风格装修房源会与图片有些许差异，我们确保每套房子都将让您百分百满意。

[核心地段】 -房源位于秀美的北戴河海滨，紧靠着北戴河奥林匹克大道公园与海咫相依
向东：《碧螺塔酒吧》潮人聚集地。大型灯光秀，篝火晚会Happy后在美食云集的 《刘庄夜市》，吃货不再担心夜生活空虚。

向西：《石塘路市场》本地大型特产市场。

向南：《海滨浴场》在公寓出发行走约10分钟左右，免费为游客开放沙滩。

向北：《鸽子窝公园》十大日出地之一，《野生动物园》华北大型散养动物园。《海天一色浴场》、《浅水湾浴场》，适合孩子赶海拾贝。
            ",300,小区住宅,整租,6人,120平米,秦皇岛,北戴河区,10," 可以自己做饭。房东告诉了我们可以在哪里买蔬菜，哪里买海鲜。正好下雨，告诉我们了可以去哪里玩。什么景点没有必要去。
三室，一家六口人刚刚好

+ 房东服务周到#  干净卫生#  设施齐全#  + 房间通透明亮，干净整洁，因为有孩子我们还开火做饭了，提供的厨具很齐全。交通很方便，停车还免费。店家很热情，我们提前到的，店家还帮我们及时安排房间打扫，让我们提前入住，房间干净整洁，一次性用品都有，还有吹风筒，烧水壶，东西很多，拎包入住。666666，真是选对了·······+ 还可以，离海边很近。住的也很舒适。+ 很好，非常满意+ 临时因为工作更改了行程，给房东添了不少麻烦。房子干净整洁，离着碧螺塔跟鸽子窝特别近。门口就是公交车，直达海鲜市场跟海港区。带着老人孩子出来玩，这趟旅行特别满意+ 住宿的位置特别好，不跟刘庄一样吵杂，离着碧螺塔酒吧公园跟鸽子窝步行就能到，房东人很好，老人孩子都非常满意的一次旅行+ 房东人很好，秦皇岛的人都很热心肠，虽然带娃有点累，但是很开心，明年还会再来+ 这次的民宿非常的满意，三室二厅的房间，三个人住得很舒服，房间也很干净整洁，以后有机会来的话会继续光顾的+ 房子很干净，房东很热情，算是离海边最近的一个小区了，打车去海边景点或者市里，基本一个起步价左右，下次依然考虑",4.9,100.00%,100.00%,83.70%,2,4.9,98%,18 晚
"
                 红屿别墅以北戴河商业运作的度假别墅出现，便继承了历史文脉，将度假居所发挥超棒。开发商及设计团队不仅从定位上入微打量，更从建筑及整体配套上细心考究，被誉为秦皇岛最适合度假的海湾豪宅。 别墅坐落于北戴河旅游区红屿别墅群E区，环境幽雅，气候宜人。
            ",5000,小区住宅,整租,12人,420平米,秦皇岛,北戴河区,1, 可以做饭#  设施齐全#  ,5,100.00%,100.00%,93.00%,6,5,100%,28 晚
"
                房屋介绍：精装修，温馨舒适，室内设施一应俱全，无线WIFI，24小时热水，空调，冰箱，有线电视。 地理位置：地处金梦海湾片区中心地带，坐拥美丽的西沙滩浴场，东倚新奥海底，西邻百亩滨海公园，毗邻奥体中心和大学城校园经济圈，距离海边170米。
            ",208,小区住宅,整租,2人,50平米,秦皇岛,海港区,0,,,100.00%,100.00%,84.20%,13,4.538,100%,28 晚
"
                出来玩家人朋友一起？可以提前找房东预定对门房源 两套房子就住对门 既有自己独立的隐私又方便约一起第二天的海边游玩！房主家还有麻将机可提供晚上回家不尽兴？继续凑一桌麻将继续嗨～
        对面屋需提前预定以后下单
小区安静 买菜购物方便 离鸽子窝观鸟湿地、奥林匹克大道公园、碧螺塔、黑石路夜市、石塘路大市场、海边 都可步行、自驾游的不二选择.  来体验安逸小城市的生活吧、和家人吃完饭去热闹的夜市逛逛！去海边玩耍！
            ",198,小区住宅,整租,4人,90平米,秦皇岛,北戴河区,1, 很好很不错,5,100.00%,100.00%,80.00%,3,1.667,100%,28 晚
"
                房屋干净卫生，设施齐全，空调，电视，无线网，24小时热水，洗漱用品，有燃气灶天然气可做饭。地处繁华，餐饮，购物，交通便利，楼下大型超市商场，电影院，小吃城，对面海鲜水果蔬菜市场，吃海鲜很鲜很肥很爽很便宜哦，距离黄金海岸十几分钟的路程，周边华夏庄园，水岩寺，五峰山，葡萄小镇，圣蓝海洋公园，滑沙场，沙雕大，渔岛，南戴河国际娱乐中心，动物园，集发观光团等多家景点，十分方便，欢迎入住。 
            ",280,普通公寓,整租,4人,75平米,秦皇岛,昌黎县,0,,,100.00%,100.00%,80.00%,7,1.429,100%,36 晚
"
                特别提示:旺季7－8两月和法定节假日房源特别紧张，请先和房东沟通在下单。谢谢理解配合。

  本店有四室两卫房型5套，三室两卫房型三套，两室两厅房型18套。下单前请您联系房东，确定实际入住人数详情，我们好合理为您安排房源，否则均已本店实际安排入住房源为准。但我们保证房源质量相同，所有电器均统一品牌型号，装修风格有区别而已。您到店有任何不满意之处，直接联系网站退全款即可。如您需要指定房源，务必提前联系房东。仅6套两室房源可加一张单人床
   任何房型的水电气都是免费的，包括停车位，房费之外没有任何收费。入住和离开时间也是灵活的，上批客人退的早，或者没人入住您就可以提前入住，不用等到十二点之后入住。

  做饭后请务必清理好厨房卫生，以免海鲜厨余垃圾产生异味

  房源卧室均有空调，所有房型均为南北通透格局，采光通风好。客厅精美沙发，55英寸液晶电视，无线网络，燃气热水器24小时供应热水淋浴，全自动洗衣机，大容量冰箱，三分钟步行到海鲜批发早市

北戴河景点

1:刘庄夜市0.5公里

2:奥运公园1公里

3怪楼奇园1.8公里

4观鸟湿地1.8公里

5:鸽子窝公园1.9公里

6:游轮码头2公里

7:东海摊浴场2公里

8:中海水浴场2公里

9:碧螺塔海上酒吧公园2.5公里

10:老虎石公园2.6公里

11:石塘路步行街2.6公里

12-浅水湾浴场3公里

13:野生动物园，3公里

14:平水桥日落浴场3.5公里

15:联峰山公园4公里

16:集发观光园8公里

南戴河景点，

1:仙螺岛网红索道8公里

2天马浴场9公里

3:新南娱华侨城12公里

4沙雕海洋乐园25公里

5:圣蓝海洋公园30公里

6渔岛海洋度假区32公里

秦皇岛景点

1:新奥海底8公里

2:公主号游轮码头9公里

3:秦皇求仙入海处12公里

4:秦皇岛港老码头（西港花园）12公里

5:植物园13公里

山海关景点

1:乐岛海洋公园25公里

2:老龙头景区27公里

3天下一关29公里

4:孟姜女庙32公里

5长寿山景区33公里

6燕塞湖鸟语林景区28公里

夜晚值得去的景点，出小区南门左转，步行十分钟到奥运公园，每晚八点有音乐喷泉表演。

  刘庄夜市，出小区南门左转一百米，见路口右转，直行几分钟就是夜市。

  怪楼奇园，出小区南门右转50米，左转直行到联峰路右转，步行五分钟就到。

  早上看日出路线，出小区北门右转，步行十分钟就是观鸟湿地，赤土山大桥看日出点，也是鸽子窝公园入口

小区南门的601路，北门的15路途径北戴河所有景点，刘庄的34路，到四道桥换成25路可以玩遍秦皇岛山海关所有景区，海滨汽车站的801路玩遍南戴河所有景点。
夜晚值得去的景点，出小区南门左转，步行十分钟到奥运公园，每晚八点有音乐喷泉表演。

  刘庄夜市，出小区南门左转一百米，见路口右转，直行几分钟就是夜市。

  怪楼奇园，出小区南门右转50米，左转直行到联峰路右转，步行五分钟就到。

  早上看日出路线，出小区北门右转，步行十分钟就是观鸟湿地，赤土山大桥看日出点，也是鸽子窝公园入口

小区南门的601路，北门的15路途径北戴河所有景点，刘庄的34路，到四道桥换成25路可以玩遍秦皇岛山海关所有景区，海滨汽车站的801路玩遍南戴河所有景点。
            ",698,小区住宅,整租,4人,98平米,秦皇岛,北戴河区,2, 很赞！跟图片上的一样，房东很热情，这是住过最好的房子，包括酒店，没有之一！+ 第一次尝试民宿，赶上淡季，一百多块钱一宿，一家老小住的舒舒服服的。家具家电齐全，干净卫生，跟照片无差，一开门我都惊艳到了。阿姨人很好，耐心解答各种问题。因为其他房间放了私人物品，只拍了这一张照片，而且房间里还特意给小朋友配了书籍玩具，虽然不是多么精致，也感受到了东家的贴心。总之，很满意的住宿，非常适合一家老小出游，不愧是“最佳民宿”??,5,100.00%,99.80%,86.80%,5,5,100%,22 晚
"
                北戴河鸿鹄居宾馆公寓是应客人的需求，在北戴河鸿鹄居宾馆的基础之上，重新装修了两套公寓，新楼新装于2016年秋天，今年第一年营业，所有设备全新 两套两室两厅公寓面积均为90多平米，每套可以入住4到6人，房间内备有；空调，彩电，独立卫生间，全天热水淋浴，数字电视，网络，自助厨房，免费停车场，等诸多设施，本店本着诚信为本，宾至如归的经营理念，竭诚为您服务，期待着您的到来！
入住时请准备好您的身份证件，预祝朋友们旅途愉快！


            ",285,普通公寓,整租,4人,96平米,秦皇岛,北戴河区,0,,,80.00%,84.00%,87.00%,17,4.406,100%,22 晚
"
                附近有鸽子窝公园 奥林匹克公园，怪楼奇园，野生动物园，碧螺塔酒吧公园，老虎石公园，游轮，海底等诸多景区。
交通情况
            ",285,普通公寓,整租,4人,96平米,秦皇岛,北戴河区,1, 房间干净很好住，老板热情！强烈推荐！,5,80.00%,84.00%,87.00%,17,4.406,100%,22 晚
"
                应客人的需求，新装修了七套公寓，其中有中式风格，现代简约风格，简约欧式风格，混搭风格等多种风格，总有一套属于您，新楼新装于2016年秋天，今年第一年营业，所有设备全新，七套两室两厅公寓面积均为90平米，每套可以入住4到6人，房间内备有；空调，彩电，独立卫生间，全天热水淋浴，冰箱 全自动洗衣机，55寸标配：液晶电视，老板烟机灶具，宽带网络，等诸多设施，同时宾馆内设：双人标间，三人标间，家庭标间，四人标间。房间备有：空调，彩电，独立卫生间，全天热水淋浴，自助厨房，免费加工海鲜，泳圈，停车场。公寓加宾馆的多样化经营，供您多方面选择，本店本着诚信为本，顾客至上，宾至如归的经营理念，竭诚为您服务，期待着朋友们的到来，预祝朋友们旅途愉快！
            ",247,普通公寓,整租,4人,100平米,秦皇岛,北戴河区,1, 地理位置不错，环境也很好，做饭也很方便，有机会还要来。,5,80.00%,84.00%,87.00%,17,4.406,100%,22 晚
"
                北戴河鸿鹄居宾馆公寓是应客人的需求，在北戴河鸿鹄居宾馆的基础之上，新装修了七套公寓，其中有中式风格，现代简约风格，简约欧式风格，混搭风格等多种风格，总有一套属于您，新楼新装于2016年秋天，今年第一年营业，所有设备全新，七套两室两厅公寓面积均为90平米，每套可以入住4到6人，房间内备有；空调，彩电，独立卫生间，全天热水淋浴，冰箱 全自动洗衣机，55寸标配：液晶电视，老板烟机灶具，宽带网络，等诸多设施
            ",247,普通公寓,整租,4人,96平米,秦皇岛,北戴河区,0,,,80.00%,84.00%,87.00%,17,4.406,100%,22 晚
"
                附近有鸽子窝公园 奥林匹克公园，怪楼奇园，野生动物园，碧螺塔酒吧公园，老虎石公园，游轮，海底等诸多景区。
            ",398,普通公寓,整租,5人,96平米,秦皇岛,北戴河区,0,,,80.00%,84.00%,87.00%,17,4.406,100%,22 晚
"
                干净整洁，附近有大型超市，小区有早市，鸽子窝公园
            ",260,普通公寓,整租,6人,90平米,秦皇岛,北戴河区,0,,,100.00%,100.00%,100.00%,2,5,100%,22 晚
"
                距火车站600米，私家庭院露台鲜花摇椅，清新淡雅的田园风情，配套设施一应具全，是您家人出行，情侣度假的理想选择！
            ",799,小区住宅,整租,6人,130平米,秦皇岛,海港区,4, 很干净，房子跟图片一样，很大很温馨还有阳台，房东阿姨也很亲切，非常棒的一次住房体验。（但是不推荐大家清明去秦皇岛，真的很冷而且很秃，没啥好玩的）+ 住着很舒服，孩子也喜欢，房东姐姐很热情，总体棒极了+ 房东姐姐特别温柔 房子装修很好 很新 地中海风格 很喜欢 -～ 不错的体验 下次去秦皇岛还会选这家 露台很大 晚上坐在秋千吹吹风特别舒服 很安逸+ 第一次体验民宿，给我们全家留下了非常美好的印象，实际住宿和图片一样，非常温馨，房东姐姐人很好，房间非常干净，离火车站非常近，周边商业也很多，出行，生活非常方便，我们全家老少四辈儿住也不觉得拥挤，我会介绍我的朋友去秦皇岛旅游时入住。,5,100.00%,100.00%,100.00%,4,3.75,100%,18 晚
"
                地中海风格，附近有早市，海鲜市场，鸽子窝公园，海边
            ",260,普通公寓,整租,4人,95平米,秦皇岛,北戴河区,2, 房东服务周到#  干净卫生#  + 房主热情态度好，房子干净温馨，特别有感觉，下次来还会住这里！非常棒！,5,100.00%,100.00%,100.00%,2,5,100%,23 晚
